"Canton";"Vehicle group / type";"Year of first registration";"Fuel";"2021"
"Solothurn";"> Motorcycles";"2000 - 2004";"Electricity";2
"Solothurn";"> Motorcycles";"2005 - 2009";"Electricity";3
"Solothurn";"> Motorcycles";"2010 - 2014";"Electricity";129
"Solothurn";"> Motorcycles";"2015";"Electricity";13
"Solothurn";"> Motorcycles";"2016";"Electricity";15
"Solothurn";"> Motorcycles";"2017";"Electricity";16
"Solothurn";"> Motorcycles";"2018";"Electricity";16
"Solothurn";"> Motorcycles";"2019";"Electricity";33
"Solothurn";"> Motorcycles";"2020";"Electricity";42
"Solothurn";"> Motorcycles";"2021";"Electricity";52
"Solothurn";"> Motorcycles";"Unknown";"Electricity";0
"Basel-Stadt";"> Passenger cars";"Before 1960";"Electricity";0
"Basel-Stadt";"> Passenger cars";"1960 - 1979";"Electricity";0
"Basel-Stadt";"> Passenger cars";"1980 - 1989";"Electricity";0
"Basel-Stadt";"> Passenger cars";"1990 - 1999";"Electricity";3
"Basel-Stadt";"> Passenger cars";"2000 - 2004";"Electricity";1
"Basel-Stadt";"> Passenger cars";"2005 - 2009";"Electricity";0
"Basel-Stadt";"> Passenger cars";"2010 - 2014";"Electricity";57
"Basel-Stadt";"> Passenger cars";"2015";"Electricity";34
"Basel-Stadt";"> Passenger cars";"2016";"Electricity";31
"Basel-Stadt";"> Passenger cars";"2017";"Electricity";36
"Basel-Stadt";"> Passenger cars";"2018";"Electricity";71
"Basel-Stadt";"> Passenger cars";"2019";"Electricity";170
"Basel-Stadt";"> Passenger cars";"2020";"Electricity";235
"Basel-Stadt";"> Passenger cars";"2021";"Electricity";264
"Basel-Stadt";"> Passenger cars";"Unknown";"Electricity";0
"Basel-Stadt";"> Motorcycles";"Before 1960";"Electricity";0
"Basel-Stadt";"> Motorcycles";"1960 - 1979";"Electricity";0
"Basel-Stadt";"> Motorcycles";"1980 - 1989";"Electricity";0
"Basel-Stadt";"> Motorcycles";"1990 - 1999";"Electricity";3
"Basel-Stadt";"> Motorcycles";"2000 - 2004";"Electricity";0
"Basel-Stadt";"> Motorcycles";"2005 - 2009";"Electricity";3
"Basel-Stadt";"> Motorcycles";"2010 - 2014";"Electricity";28
"Basel-Stadt";"> Motorcycles";"2015";"Electricity";5
"Basel-Stadt";"> Motorcycles";"2016";"Electricity";7
"Basel-Stadt";"> Motorcycles";"2017";"Electricity";9
"Basel-Stadt";"> Motorcycles";"2018";"Electricity";25
"Basel-Stadt";"> Motorcycles";"2019";"Electricity";26
"Basel-Stadt";"> Motorcycles";"2020";"Electricity";41
"Basel-Stadt";"> Motorcycles";"2021";"Electricity";43
"Basel-Stadt";"> Motorcycles";"Unknown";"Electricity";0
"Basel-Landschaft";"> Passenger cars";"Before 1960";"Electricity";0
"Basel-Landschaft";"> Passenger cars";"1960 - 1979";"Electricity";1
"Basel-Landschaft";"> Passenger cars";"1980 - 1989";"Electricity";0
"Basel-Landschaft";"> Passenger cars";"1990 - 1999";"Electricity";2
"Basel-Landschaft";"> Passenger cars";"2000 - 2004";"Electricity";3
"Basel-Landschaft";"> Passenger cars";"2005 - 2009";"Electricity";3
"Basel-Landschaft";"> Passenger cars";"2010 - 2014";"Electricity";134
"Basel-Landschaft";"> Passenger cars";"2015";"Electricity";134
"Basel-Landschaft";"> Passenger cars";"2016";"Electricity";125
"Basel-Landschaft";"> Passenger cars";"2017";"Electricity";165
"Basel-Landschaft";"> Passenger cars";"2018";"Electricity";193
"Basel-Landschaft";"> Passenger cars";"2019";"Electricity";402
"Basel-Landschaft";"> Passenger cars";"2020";"Electricity";568
"Basel-Landschaft";"> Passenger cars";"2021";"Electricity";619
"Basel-Landschaft";"> Passenger cars";"Unknown";"Electricity";0
"Basel-Landschaft";"> Motorcycles";"Before 1960";"Electricity";0
"Basel-Landschaft";"> Motorcycles";"1960 - 1979";"Electricity";0
"Basel-Landschaft";"> Motorcycles";"1980 - 1989";"Electricity";1
"Basel-Landschaft";"> Motorcycles";"1990 - 1999";"Electricity";19
"Basel-Landschaft";"> Motorcycles";"2000 - 2004";"Electricity";8
"Basel-Landschaft";"> Motorcycles";"2005 - 2009";"Electricity";9
"Basel-Landschaft";"> Motorcycles";"2010 - 2014";"Electricity";108
"Basel-Landschaft";"> Motorcycles";"2015";"Electricity";6
"Basel-Landschaft";"> Motorcycles";"2016";"Electricity";20
"Basel-Landschaft";"> Motorcycles";"2017";"Electricity";24
"Basel-Landschaft";"> Motorcycles";"2018";"Electricity";29
"Basel-Landschaft";"> Motorcycles";"2019";"Electricity";47
"Basel-Landschaft";"> Motorcycles";"2020";"Electricity";49
"Basel-Landschaft";"> Motorcycles";"2021";"Electricity";74
"Basel-Landschaft";"> Motorcycles";"Unknown";"Electricity";0
"Schaffhausen";"> Passenger cars";"Before 1960";"Electricity";0
"Schaffhausen";"> Passenger cars";"1960 - 1979";"Electricity";0
"Schaffhausen";"> Passenger cars";"1980 - 1989";"Electricity";1
"Schaffhausen";"> Passenger cars";"1990 - 1999";"Electricity";1
"Schaffhausen";"> Passenger cars";"2000 - 2004";"Electricity";0
"Schaffhausen";"> Passenger cars";"2005 - 2009";"Electricity";0
"Schaffhausen";"> Passenger cars";"2010 - 2014";"Electricity";59
"Schaffhausen";"> Passenger cars";"2015";"Electricity";35
"Schaffhausen";"> Passenger cars";"2016";"Electricity";32
"Schaffhausen";"> Passenger cars";"2017";"Electricity";39
"Schaffhausen";"> Passenger cars";"2018";"Electricity";53
"Schaffhausen";"> Passenger cars";"2019";"Electricity";113
"Schaffhausen";"> Passenger cars";"2020";"Electricity";139
"Schaffhausen";"> Passenger cars";"2021";"Electricity";192
"Schaffhausen";"> Passenger cars";"Unknown";"Electricity";0
"Schaffhausen";"> Motorcycles";"Before 1960";"Electricity";0
"Schaffhausen";"> Motorcycles";"1960 - 1979";"Electricity";0
"Schaffhausen";"> Motorcycles";"1980 - 1989";"Electricity";0
"Schaffhausen";"> Motorcycles";"1990 - 1999";"Electricity";6
"Schaffhausen";"> Motorcycles";"2000 - 2004";"Electricity";2
"Schaffhausen";"> Motorcycles";"2005 - 2009";"Electricity";6
"Schaffhausen";"> Motorcycles";"2010 - 2014";"Electricity";57
"Schaffhausen";"> Motorcycles";"2015";"Electricity";6
"Schaffhausen";"> Motorcycles";"2016";"Electricity";9
"Schaffhausen";"> Motorcycles";"2017";"Electricity";7
"Schaffhausen";"> Motorcycles";"2018";"Electricity";11
"Schaffhausen";"> Motorcycles";"2019";"Electricity";11
"Schaffhausen";"> Motorcycles";"2020";"Electricity";10
"Schaffhausen";"> Motorcycles";"2021";"Electricity";18
"Schaffhausen";"> Motorcycles";"Unknown";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"Before 1960";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"1960 - 1979";"Electricity";0
"Appenzell-Ausserrhoden";"> Passenger cars";"1980 - 1989";"Electricity";1
